mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.141220760345459,0.013932678445946041,0.006180286407470703,0.0008136544351326864,10,1,2,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8865131578947368,0.881578947368421,0.8832236842105263,0.8813838550247117,0.8780889621087314,0.8821577213214254,0.0027420705494143245,62
0.281198787689209,0.013604114680964185,0.010451602935791015,0.0017584719906746466,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8848684210526315,0.8782894736842105,0.8865131578947368,0.8912685337726524,0.8780889621087314,0.8838057097025926,0.005045065650508886,59
0.5996474266052246,0.009440941529211681,0.018299055099487305,0.002302683495024919,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8865131578947368,0.881578947368421,0.8848684210526315,0.8945634266886326,0.8764415156507414,0.8847930937310327,0.005975002833580834,56
0.1421894073486328,0.009333375693676291,0.006382369995117187,0.0005817170138044223,10,1,5,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.8881578947368421,0.8832236842105263,0.8881578947368421,0.886326194398682,0.8764415156507414,0.8844614367467267,0.00439672810559406,58
0.2847296237945557,0.009539137391435734,0.009876012802124023,0.0015126719532054824,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8865131578947368,0.875,0.8947368421052632,0.8830313014827018,0.8846787479406919,0.8847920098846787,0.006338113572578122,57
0.5573233604431153,0.023011385685640408,0.01482081413269043,0.00040550852647015817,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.881578947368421,0.8799342105263158,0.8898026315789473,0.886326194398682,0.8731466227347611,0.8821577213214254,0.005697362511278466,62
0.1418473243713379,0.0069643502780539854,0.005608749389648437,0.00031939453409597326,10,1,10,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.8733552631578947,0.8766447368421053,0.8733552631578947,0.8846787479406919,0.8747940691927513,0.8765656160582675,0.004232736203134588,81
0.2970390796661377,0.018494376006820776,0.01078047752380371,0.0016422299737828877,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8700657894736842,0.875,0.8865131578947368,0.886326194398682,0.8747940691927513,0.8785398421919709,0.006671909944850443,77
0.5437966346740722,0.040320565677562675,0.01641502380371094,0.0027503779856430754,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8717105263157895,0.8766447368421053,0.8832236842105263,0.8879736408566722,0.8764415156507414,0.879198820775167,0.005716600796500152,74
0.14741549491882325,0.012128961922213645,0.0064278125762939455,0.001223492856301367,10,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8881578947368421,0.8766447368421053,0.8766447368421053,0.8846787479406919,0.8747940691927513,0.8801840371108993,0.00525147365653294,70
